date,sector,MtCO2 per day
16/06/2023,Power,4.63
17/06/2023,Power,4.65
18/06/2023,Power,4.38
19/06/2023,Power,4.57
20/06/2023,Power,4.57
21/06/2023,Power,4.64
22/06/2023,Power,4.64
23/06/2023,Power,4.63
24/06/2023,Power,4.52
25/06/2023,Power,4.1
26/06/2023,Power,4.05
27/06/2023,Power,4.13
28/06/2023,Power,4.15
29/06/2023,Power,3.96
30/06/2023,Power,3.8
01/07/2023,Power,3.96
02/07/2023,Power,3.99
03/07/2023,Power,4.3
04/07/2023,Power,4.37
05/07/2023,Power,4.23
06/07/2023,Power,4.1
07/07/2023,Power,4.13
08/07/2023,Power,3.65
09/07/2023,Power,3.82
10/07/2023,Power,4.23
11/07/2023,Power,4.28
12/07/2023,Power,4.34
13/07/2023,Power,4.32
14/07/2023,Power,4.28
15/07/2023,Power,4.19
16/07/2023,Power,4.06
17/07/2023,Power,4.29
18/07/2023,Power,4.22
19/07/2023,Power,4.14
20/07/2023,Power,4.23
21/07/2023,Power,4.3
22/07/2023,Power,4.13
23/07/2023,Power,3.94
24/07/2023,Power,4.17
25/07/2023,Power,4.22
26/07/2023,Power,4.02
27/07/2023,Power,3.92
28/07/2023,Power,3.73
29/07/2023,Power,3.53
30/07/2023,Power,3.61
31/07/2023,Power,3.88
01/08/2023,Power,3.88
02/08/2023,Power,3.78
03/08/2023,Power,3.83
04/08/2023,Power,3.97
05/08/2023,Power,4.0
06/08/2023,Power,3.75
07/08/2023,Power,3.86
08/08/2023,Power,4.07
09/08/2023,Power,4.26
10/08/2023,Power,4.36
11/08/2023,Power,4.55
12/08/2023,Power,4.43
13/08/2023,Power,4.27
14/08/2023,Power,4.46
15/08/2023,Power,4.42
16/08/2023,Power,4.59
17/08/2023,Power,4.6
18/08/2023,Power,4.57
19/08/2023,Power,4.47
20/08/2023,Power,4.48
21/08/2023,Power,4.6
22/08/2023,Power,4.62
23/08/2023,Power,4.37
24/08/2023,Power,4.33
25/08/2023,Power,4.44
26/08/2023,Power,4.52
27/08/2023,Power,4.49
28/08/2023,Power,4.52
29/08/2023,Power,4.75
30/08/2023,Power,4.83
31/08/2023,Power,4.92
01/09/2023,Power,5.05
02/09/2023,Power,5.02
03/09/2023,Power,4.8
04/09/2023,Power,4.71
05/09/2023,Power,4.81
06/09/2023,Power,4.71
07/09/2023,Power,4.43
08/09/2023,Power,4.31
09/09/2023,Power,4.2
10/09/2023,Power,3.98
11/09/2023,Power,4.29
12/09/2023,Power,4.48
13/09/2023,Power,4.65
14/09/2023,Power,4.79
15/09/2023,Power,4.64
16/09/2023,Power,4.34
17/09/2023,Power,3.95
18/09/2023,Power,4.06
19/09/2023,Power,4.19
20/09/2023,Power,4.4
21/09/2023,Power,4.51
22/09/2023,Power,4.44
23/09/2023,Power,4.2
24/09/2023,Power,3.92
25/09/2023,Power,4.15
26/09/2023,Power,4.41
27/09/2023,Power,4.5
28/09/2023,Power,4.49
29/09/2023,Power,4.53
30/09/2023,Power,4.43
01/10/2023,Power,4.12
02/10/2023,Power,4.04
03/10/2023,Power,4.34
04/10/2023,Power,4.46
05/10/2023,Power,4.51
06/10/2023,Power,4.61
07/10/2023,Power,4.65
08/10/2023,Power,4.67
09/10/2023,Power,4.77
10/10/2023,Power,4.81
11/10/2023,Power,4.89
12/10/2023,Power,4.88
13/10/2023,Power,4.91
14/10/2023,Power,4.8
15/10/2023,Power,4.66
16/10/2023,Power,4.62
17/10/2023,Power,4.57
18/10/2023,Power,4.7
19/10/2023,Power,4.79
20/10/2023,Power,4.78
21/10/2023,Power,4.73
22/10/2023,Power,4.57
23/10/2023,Power,4.52
24/10/2023,Power,4.38
25/10/2023,Power,4.61
26/10/2023,Power,4.76
27/10/2023,Power,4.75
28/10/2023,Power,4.75
29/10/2023,Power,4.57
30/10/2023,Power,4.67
31/10/2023,Power,4.73
01/11/2023,Power,4.77
02/11/2023,Power,4.78
03/11/2023,Power,4.79
04/11/2023,Power,4.74
05/11/2023,Power,4.51
06/11/2023,Power,4.6
07/11/2023,Power,4.63
08/11/2023,Power,4.64
09/11/2023,Power,4.62
10/11/2023,Power,4.44
11/11/2023,Power,4.1
12/11/2023,Power,3.68
13/11/2023,Power,3.59
14/11/2023,Power,3.85
15/11/2023,Power,3.97
16/11/2023,Power,4.11
17/11/2023,Power,4.23
18/11/2023,Power,4.36
19/11/2023,Power,4.21
20/11/2023,Power,4.32
21/11/2023,Power,4.44
22/11/2023,Power,4.5
23/11/2023,Power,4.5
24/11/2023,Power,4.4
25/11/2023,Power,4.3
26/11/2023,Power,4.03
27/11/2023,Power,3.98
28/11/2023,Power,4.04
29/11/2023,Power,4.09
30/11/2023,Power,3.97
01/12/2023,Power,3.98
02/12/2023,Power,3.9
03/12/2023,Power,3.74
04/12/2023,Power,3.82
05/12/2023,Power,3.84
06/12/2023,Power,3.96
07/12/2023,Power,4.1
08/12/2023,Power,4.19
09/12/2023,Power,4.16
10/12/2023,Power,3.99
11/12/2023,Power,4.19
12/12/2023,Power,4.31
13/12/2023,Power,4.32
14/12/2023,Power,4.34
15/12/2023,Power,4.48
16/12/2023,Power,4.45
17/12/2023,Power,4.18
18/12/2023,Power,4.18
19/12/2023,Power,4.31
20/12/2023,Power,4.41
21/12/2023,Power,4.46
22/12/2023,Power,4.57
23/12/2023,Power,4.46
24/12/2023,Power,4.27
25/12/2023,Power,4.36
26/12/2023,Power,4.53
27/12/2023,Power,4.5
28/12/2023,Power,4.52
29/12/2023,Power,4.59
30/12/2023,Power,4.61
31/12/2023,Power,4.4
01/01/2024,Power,4.45
02/01/2024,Power,4.59
03/01/2024,Power,4.67
04/01/2024,Power,4.67
05/01/2024,Power,4.71
06/01/2024,Power,4.6
07/01/2024,Power,4.39
08/01/2024,Power,4.58
09/01/2024,Power,4.56
10/01/2024,Power,4.62
11/01/2024,Power,4.65
12/01/2024,Power,4.74
13/01/2024,Power,4.83
14/01/2024,Power,4.59
15/01/2024,Power,4.64
16/01/2024,Power,4.75
17/01/2024,Power,4.82
18/01/2024,Power,4.84
19/01/2024,Power,4.87
20/01/2024,Power,4.87
21/01/2024,Power,4.77
22/01/2024,Power,4.8
23/01/2024,Power,4.86
24/01/2024,Power,4.91
25/01/2024,Power,4.89
26/01/2024,Power,4.64
27/01/2024,Power,4.71
28/01/2024,Power,4.76
29/01/2024,Power,4.86
30/01/2024,Power,4.93
31/01/2024,Power,4.85
01/02/2024,Power,4.74
02/02/2024,Power,4.87
03/02/2024,Power,4.85
04/02/2024,Power,4.6
05/02/2024,Power,4.68
06/02/2024,Power,4.78
07/02/2024,Power,4.76
08/02/2024,Power,4.69
09/02/2024,Power,4.73
10/02/2024,Power,4.68
11/02/2024,Power,4.5
12/02/2024,Power,4.66
13/02/2024,Power,4.75
14/02/2024,Power,4.73
15/02/2024,Power,4.69
16/02/2024,Power,4.68
17/02/2024,Power,4.72
18/02/2024,Power,4.51
19/02/2024,Power,4.47
20/02/2024,Power,4.73
21/02/2024,Power,4.71
22/02/2024,Power,4.76
23/02/2024,Power,4.82
24/02/2024,Power,4.84
25/02/2024,Power,4.55
26/02/2024,Power,4.64
27/02/2024,Power,4.55
28/02/2024,Power,4.64
01/03/2024,Power,4.75
02/03/2024,Power,4.38
03/03/2024,Power,4.16
04/03/2024,Power,4.46
05/03/2024,Power,4.59
06/03/2024,Power,4.72
07/03/2024,Power,4.75
08/03/2024,Power,4.72
09/03/2024,Power,4.69
10/03/2024,Power,4.64
11/03/2024,Power,4.82
12/03/2024,Power,4.93
13/03/2024,Power,4.92
14/03/2024,Power,4.94
15/03/2024,Power,5.04
16/03/2024,Power,4.98
17/03/2024,Power,4.73
18/03/2024,Power,4.93
19/03/2024,Power,4.93
20/03/2024,Power,4.78
21/03/2024,Power,4.75
22/03/2024,Power,4.84
23/03/2024,Power,4.86
24/03/2024,Power,4.61
25/03/2024,Power,4.28
26/03/2024,Power,4.55
27/03/2024,Power,4.87
28/03/2024,Power,5.06
29/03/2024,Power,5.12
30/03/2024,Power,5.01
31/03/2024,Power,4.83
01/04/2024,Power,4.87
02/04/2024,Power,5.01
03/04/2024,Power,5.09
04/04/2024,Power,5.19
05/04/2024,Power,5.21
06/04/2024,Power,5.18
07/04/2024,Power,4.92
08/04/2024,Power,5.01
09/04/2024,Power,5.04
10/04/2024,Power,5.06
11/04/2024,Power,4.99
12/04/2024,Power,5.01
13/04/2024,Power,4.98
14/04/2024,Power,4.76
15/04/2024,Power,5.08
16/04/2024,Power,5.12
17/04/2024,Power,5.15
18/04/2024,Power,5.17
19/04/2024,Power,4.98
20/04/2024,Power,5.08
21/04/2024,Power,4.93
22/04/2024,Power,5.04
23/04/2024,Power,5.04
24/04/2024,Power,5.09
25/04/2024,Power,5.23
26/04/2024,Power,5.18
27/04/2024,Power,5.21
28/04/2024,Power,5.06
29/04/2024,Power,5.21
30/04/2024,Power,5.22
01/05/2024,Power,4.91
02/05/2024,Power,5.18
03/05/2024,Power,5.29
04/05/2024,Power,5.27
05/05/2024,Power,5.05
06/05/2024,Power,5.25
07/05/2024,Power,5.08
08/05/2024,Power,5.0
09/05/2024,Power,5.04
10/05/2024,Power,4.98
11/05/2024,Power,4.91
12/05/2024,Power,4.84
13/05/2024,Power,5.0
14/05/2024,Power,5.02
15/05/2024,Power,5.15
16/05/2024,Power,5.23
17/05/2024,Power,5.24
18/05/2024,Power,5.16
19/05/2024,Power,4.9
20/05/2024,Power,4.99
21/05/2024,Power,5.11
22/05/2024,Power,5.23
23/05/2024,Power,5.18
24/05/2024,Power,5.24
25/05/2024,Power,5.02
26/05/2024,Power,4.64
27/05/2024,Power,4.68
28/05/2024,Power,4.76
29/05/2024,Power,4.88
30/05/2024,Power,5.17
31/05/2024,Power,5.14
01/06/2024,Power,5.09
02/06/2024,Power,4.97
03/06/2024,Power,5.16
04/06/2024,Power,5.11
05/06/2024,Power,5.01
06/06/2024,Power,4.89
07/06/2024,Power,5.11
08/06/2024,Power,5.03
09/06/2024,Power,4.78
10/06/2024,Power,4.94
11/06/2024,Power,4.97
12/06/2024,Power,4.97
13/06/2024,Power,4.99
14/06/2024,Power,4.97
15/06/2024,Power,5.05
16/06/2024,Power,5.0
17/06/2024,Power,5.24
18/06/2024,Power,5.06
19/06/2024,Power,4.91
20/06/2024,Power,4.58
21/06/2024,Power,4.79
22/06/2024,Power,4.95
23/06/2024,Power,4.79
24/06/2024,Power,4.86
25/06/2024,Power,5.0
26/06/2024,Power,4.95
27/06/2024,Power,4.75
28/06/2024,Power,4.71
29/06/2024,Power,4.67
30/06/2024,Power,4.35
01/07/2024,Power,4.34
02/07/2024,Power,4.16
03/07/2024,Power,4.21
04/07/2024,Power,4.3
05/07/2024,Power,4.33
06/07/2024,Power,3.98
07/07/2024,Power,3.98
08/07/2024,Power,4.53
09/07/2024,Power,4.7
10/07/2024,Power,4.73
11/07/2024,Power,4.65
12/07/2024,Power,4.41
13/07/2024,Power,4.37
14/07/2024,Power,4.39
15/07/2024,Power,4.68
16/07/2024,Power,4.61
17/07/2024,Power,4.61
18/07/2024,Power,4.59
19/07/2024,Power,4.48
20/07/2024,Power,4.55
21/07/2024,Power,4.36
22/07/2024,Power,4.49
23/07/2024,Power,4.39
24/07/2024,Power,4.28
25/07/2024,Power,4.21
26/07/2024,Power,4.22
27/07/2024,Power,4.24
28/07/2024,Power,4.27
29/07/2024,Power,4.56
30/07/2024,Power,4.64
31/07/2024,Power,4.51
01/08/2024,Power,4.05
02/08/2024,Power,3.95
03/08/2024,Power,3.84
04/08/2024,Power,3.73
05/08/2024,Power,4.2
06/08/2024,Power,4.27
07/08/2024,Power,4.09
08/08/2024,Power,4.05
09/08/2024,Power,4.19
10/08/2024,Power,4.11
11/08/2024,Power,3.85
12/08/2024,Power,4.05
13/08/2024,Power,4.4
14/08/2024,Power,4.56
15/08/2024,Power,4.24
16/08/2024,Power,4.37
17/08/2024,Power,4.49
18/08/2024,Power,4.29
19/08/2024,Power,4.34
20/08/2024,Power,4.3
21/08/2024,Power,4.47
22/08/2024,Power,4.5
23/08/2024,Power,4.37
24/08/2024,Power,4.12
25/08/2024,Power,3.61
26/08/2024,Power,3.64
27/08/2024,Power,3.66
28/08/2024,Power,3.8
29/08/2024,Power,3.81
30/08/2024,Power,4.03
31/08/2024,Power,4.15
01/09/2024,Power,3.86
02/09/2024,Power,4.06
03/09/2024,Power,4.13
04/09/2024,Power,3.93
05/09/2024,Power,3.87
06/09/2024,Power,3.96
07/09/2024,Power,3.89
08/09/2024,Power,3.78
09/09/2024,Power,4.0
10/09/2024,Power,4.01
11/09/2024,Power,3.99
12/09/2024,Power,3.87
13/09/2024,Power,3.86
14/09/2024,Power,3.87
15/09/2024,Power,3.78
16/09/2024,Power,3.96
17/09/2024,Power,4.13
18/09/2024,Power,4.28
19/09/2024,Power,4.44
20/09/2024,Power,4.64
21/09/2024,Power,4.68
22/09/2024,Power,4.57
23/09/2024,Power,4.76
24/09/2024,Power,4.69
25/09/2024,Power,4.61
26/09/2024,Power,4.33
27/09/2024,Power,4.16
28/09/2024,Power,4.2
29/09/2024,Power,4.26
30/09/2024,Power,4.6
01/10/2024,Power,4.73
02/10/2024,Power,4.6
03/10/2024,Power,4.64
04/10/2024,Power,4.72
05/10/2024,Power,4.68
06/10/2024,Power,4.48
07/10/2024,Power,4.69
08/10/2024,Power,4.81
09/10/2024,Power,4.82
10/10/2024,Power,4.62
11/10/2024,Power,4.52
12/10/2024,Power,4.09
13/10/2024,Power,4.08
14/10/2024,Power,4.55
15/10/2024,Power,4.51
16/10/2024,Power,4.46
17/10/2024,Power,4.43
18/10/2024,Power,4.5
19/10/2024,Power,4.55
20/10/2024,Power,4.29
21/10/2024,Power,4.49
22/10/2024,Power,4.5
23/10/2024,Power,4.52
24/10/2024,Power,4.45
25/10/2024,Power,4.36
26/10/2024,Power,4.35
27/10/2024,Power,4.28
28/10/2024,Power,4.57
29/10/2024,Power,4.7
30/10/2024,Power,4.65
31/10/2024,Power,4.12
01/11/2024,Power,3.86
02/11/2024,Power,3.97
03/11/2024,Power,4.08
04/11/2024,Power,4.19
05/11/2024,Power,4.34
06/11/2024,Power,4.43
07/11/2024,Power,4.48
08/11/2024,Power,4.5
09/11/2024,Power,4.53
10/11/2024,Power,4.34
11/11/2024,Power,4.51
12/11/2024,Power,4.61
13/11/2024,Power,4.56
14/11/2024,Power,4.56
15/11/2024,Power,4.55
16/11/2024,Power,4.34
17/11/2024,Power,4.13
18/11/2024,Power,4.23
19/11/2024,Power,4.34
20/11/2024,Power,4.26
21/11/2024,Power,4.33
22/11/2024,Power,4.34
23/11/2024,Power,4.37
24/11/2024,Power,4.2
25/11/2024,Power,4.28
26/11/2024,Power,4.36
27/11/2024,Power,4.35
28/11/2024,Power,4.25
29/11/2024,Power,4.31
30/11/2024,Power,4.2
