"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2025","6,101.24","6,121.43","6,128.18","6,088.74","0.00K","-0.29%"
"01/23/2025","6,118.71","6,076.32","6,118.73","6,074.67","0.00K","0.53%"
"01/22/2025","6,086.37","6,081.39","6,100.81","6,076.13","","0.61%"
"01/21/2025","6,049.24","6,014.12","6,051.51","6,006.88","","0.88%"
"01/17/2025","5,996.66","5,995.40","6,014.96","5,978.44","","1.00%"
"01/16/2025","5,937.34","5,963.61","5,964.69","5,930.72","","-0.21%"
"01/15/2025","5,949.91","5,905.21","5,960.61","5,905.21","","1.83%"
"01/14/2025","5,842.91","5,859.27","5,871.92","5,805.42","0.00K","0.11%"
"01/13/2025","5,836.22","5,782.02","5,838.61","5,773.31","","0.16%"
"01/10/2025","5,827.04","5,890.35","5,890.35","5,807.78","","-1.54%"
"01/08/2025","5,918.25","5,910.66","5,927.89","5,874.78","","0.16%"
"01/07/2025","5,909.03","5,993.26","6,000.68","5,890.68","","-1.11%"
"01/06/2025","5,975.38","5,982.81","6,021.04","5,960.01","","0.55%"
"01/03/2025","5,942.47","5,891.07","5,949.34","5,888.66","","1.26%"
"01/02/2025","5,868.55","5,903.26","5,935.09","5,829.53","","-0.22%"
"12/31/2024","5,881.63","5,919.74","5,929.74","5,868.86","","-0.43%"
"12/30/2024","5,906.94","5,920.67","5,940.79","5,869.16","","-1.07%"
"12/27/2024","5,970.84","6,006.17","6,006.17","5,932.95","","-1.11%"