country_name,Date,value
India,1960,120581.961
India,1961,130402.187
India,1962,143467.708
India,1963,154083.673
India,1964,150647.694
India,1965,165972.087
India,1966,171765.947
India,1967,172238.99
India,1968,187336.029
India,1969,190724.337
India,1970,195143.072
India,1971,205869.047
India,1972,217849.136
India,1973,224343.393
India,1974,231992.755
India,1975,252201.592
India,1976,263785.645
India,1977,279051.366
India,1978,283096.067
India,1979,296891.321
India,1980,314016.211
India,1981,338838.134
India,1982,349637.449
India,1983,378669.088
India,1984,388118.947
India,1985,426673.785
India,1986,457571.927
India,1987,488481.07
India,1988,527563.956
India,1989,579008.299
India,1990,563580
India,1991,607230
India,1992,626290
India,1993,651350
India,1994,685900
India,1995,737860
India,1996,774070
India,1997,819270
India,1998,836270
India,1999,901330
India,2000,937860
India,2001,953540
India,2002,985450.0122
India,2003,1011770.02
India,2004,1085670.044
India,2005,1136469.971
India,2006,1215209.961
India,2007,1336739.99
India,2008,1424380.005
India,2009,1564880.005
India,2010,1659979.98
India,2011,1756739.99
India,2012,1909439.941
India,2013,1972430.054
India,2014,2147110.107
India,2015,2158020.02
India,2016,2195250
India,2017,2320409.912
India,2018,2451929.932
India,2019,2456300.049